"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","orig_species","tree_match","order","family","log_adult_mass_g","log_brain_mass_g","log_adult_body_length_mm","log_adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","log_litter_size_n","litters_per_year_n","interbirth_interval_d","log_neonate_mass_g","log_weaning_age_d","log_weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","log_lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","log_median_aggregation_size","migration","log_mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17","log_relative_age_first_birth","log_female_relative_maturity","postnatal_growth_rate","mass_specific_production_rate"
"Pteronotus quadridens",178.773823500348,142.929619295214,163.486605720525,269.160042327817,78.1135456311762,219.484230636864,241.178274934637,215.275878829497,176.546985297172,176.167695551315,"Pteronotus quadridens","Pteronotus quadridens","Chiroptera","Mormoopidae",1.66203036255327,-1.29098418131557,4.13268347644855,3.62434093297637,5087.123,NA,374.509,NA,481.13,156.43,NA,0.19062035960865,1,355.767,0.76080582903376,4.22989474904298,NA,1893.147,NA,NA,"0","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,"1","1","0",1,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.692378548551567,1.18949475682977,1.24972209325148,32.692984,6.919999993,11.1704351567277,NA,2.20827441363637,"0","0","0","1","0","0",-5.11958956176141,-34.7969661673037,-25.2475843343998,-11.6960865916579,-16.787312763716,-26.8723606813824,10.8166691592766,-19.2793390345358,-12.1302261040064,-4.43236066707563,4.17322871234372,-0.777484625556248,19.2898787409449,17.7406009746794,1.27079182787478,-2.48634035962921,12.5556902249448,-2.35833021995137,-2.60885188909974,NA,0.49134724857685
"Scotoecus albofuscus",233.006259167443,152.6679734291,173.471234406415,281.129052333797,285.132671954557,316.661645293885,171.30699653129,322.9873232886,244.844432114106,245.010937928649,"Scotoecus albofuscus","Scotoecus albofuscus","Chiroptera","Vespertilionidae",1.50407739677627,-1.95192822138088,4.05208055628073,3.38405122282718,2889.66,NA,298.876,NA,385.475,81.125,NA,0.560187053303715,1.107,354.351,NA,3.89110575717276,NA,1625.999,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,NA,NA,NA,2,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0615272398086971,0.364497130597617,0.366414852391473,0.00559992985910947,5.30011904761905,NA,NA,NA,NA,NA,NA,NA,"0","0",35.2334899193806,25.719224898225,1.7167673480048,-3.37028934487327,-11.6806178739603,12.4252979855368,13.2950598180611,-14.0956191960165,14.8443102315221,9.9022657964887,-3.4140090392062,7.3624256817902,1.75313453402975,0.180051735899596,14.6738052724919,3.04287952544516,0.231870453010394,-2.01441778706928,-2.26886535547342,NA,NA
"Rhinophylla pumilio",158.262711284158,128.85712674352,210.004340043016,245.459869401492,116.306262669143,313.171470613683,135.928582567647,218.121688194197,169.777738366278,169.904589197503,"Rhinophylla pumilio","Rhinophylla pumilio","Chiroptera","Phyllostomidae",2.2554934854602,-1.03282454813011,4.14156206183121,3.51154543883102,5265.811,NA,481.85,NA,594.784,117.77,NA,-0.0100503358535015,1,334.091,NA,4.16270389973544,NA,2105.671,NA,NA,"0","2",NA,NA,10,0,90,10,0,0,0,0,0,90,0,0,0,1,"2","1","0","0","0","1",1400,NA,NA,"0","1","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.873374042146124,1.78396421540535,2.36088470626516,38.8553,6.208499993,NA,NA,NA,"0","0","0","1","1","0",20.3622054187309,-50.2736823975967,-16.1600394567524,12.8301923453458,-19.2671914002814,3.55603078540289,-8.85083356035562,5.69927953648203,6.52837372249907,3.69404157061766,-3.86576395463565,2.18233015132112,-3.1961446612464,-3.39820608621739,-2.30048957800863,2.83904131436417,-7.04557069260718,-2.18079213436716,-2.39135758649581,NA,NA
"Gardnerycteris crenulata",150.663807349573,123.080197547878,221.062433842347,251.07088278236,123.053962340493,369.274292407948,161.852171055634,193.037593937374,186.820053295095,186.815611302925,"Mimon crenulatum","Mimon crenulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580831257936085,1.83444669542708,2.23091900311526,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",19.6158439173027,-49.4634086090974,-18.0711983273504,11.9125269641708,-21.9315856730546,-5.10655473566322,-9.47350899873957,-4.86787572042967,8.28480954478602,-5.01988132044451,-1.83075705352183,-5.63371953194711,-7.93822655873543,-5.38907207694872,1.33444867806982,-3.46590387640496,-5.47210083123282,NA,NA,NA,NA
"Artibeus jamaicensis",161.398333823804,175.621521508023,156.444904678306,262.857338372831,109.295672992993,289.279826876004,150.734519984976,179.484369561824,169.777738366278,169.904589197503,"Artibeus jamaicensis","Artibeus jamaicensis","Chiroptera","Phyllostomidae",3.8308129500026,-0.0725706928348354,4.53259949315326,4.09999523373092,7014.083,333.22,288.37,365.28,440.57,106.54,NA,0,2,219.849,2.18605127673809,2.70805020110221,3.5201649007262,1920.478,NA,NA,"0","2",NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,"2","1","0","0","0","1",NA,NA,NA,"0","1","0",4,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0",0.171016302621959,1.18467679236897,1.5191998840174,45.9983375,6.4,0,"0",NA,"0","0","0","1","1","0",21.0150706353913,-50.191360206389,-13.3571326485941,12.7144585014123,-14.5204253490725,10.3656695402525,-6.65155318470426,14.4093989599251,2.03932948703979,10.7820439992742,-3.62069191192221,8.28188207181812,4.26621599468148,2.91251841245606,-5.21937594354726,7.81935047789689,0.235050270514579,-2.76760592102552,-3.1914308862973,3.79662921348315,0.386117136659436
"Diaemus youngi",155.205994781542,136.827406973813,145.875598568897,272.961236154983,114.349003157158,291.892889557747,184.333495024224,208.103936839257,170.163431732836,170.291175914133,"Diaemus youngi","Diaemus youngi","Chiroptera","Phyllostomidae",3.60004824040732,-0.0304592074847086,4.74493212836325,3.92750257627653,7300,NA,585.355,NA,740.942,258.74,NA,0,1.101,357.649,NA,5.3578025158828,NA,2495.806,NA,NA,"0","2",NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,"0","1","0",3,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.562101910828026,1.20378750583675,1.56946184384841,52.04264724,8.500000006,3.40119738232882,"0",2.20827441363637,"0","0","0","1","1","0",16.7159719204933,-44.4418394233229,-20.0823374902044,6.37283336094817,-22.4496345749501,-18.4651729594109,-3.47538758180667,-17.6103162852197,1.74535708629541,-9.657658332642,3.07293456449323,-5.81448351487999,1.64475433755981,3.16002149100241,2.37492607303874,-0.231707230460193,7.03653913579763,-2.28770727750844,-2.52341112634927,NA,NA
"Glossophaga leachii",160.058638464702,127.25762142777,144.328628736742,210.343381301085,158.13322643183,387.549870695122,206.076881850979,176.322713345961,192.347450363582,192.341917321492,"Glossophaga leachii","Glossophaga leachii","Chiroptera","Phyllostomidae",2.37024374146786,-0.740238788093796,4.07753744390572,3.57543076160636,4015,NA,268.763,NA,383.259,107.255,NA,0,2,228.318,-0.967584026261706,3.84267292729335,NA,1637.825,NA,NA,"0","2",NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,"2","1","0","0","0","1",2400,NA,NA,"0","1","0",2,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.329681142210263,1.48309653166875,2.05083925929798,NA,NA,NA,NA,1.41098697344769,"1","0","0","0","0","0",19.1345025923771,-48.5122074717166,-18.8087587518126,11.1739675164589,-22.8262947799159,-8.9505738970033,-9.3175252154257,-8.76495007436829,8.33275417576491,-7.28530215182897,-1.00837516108841,-7.17513465785326,-7.52916388809126,-4.62488284574121,1.379335798937,-3.18705685445213,-3.58483881819859,-2.34908162553872,-2.70396267601586,NA,0.0710280373831776
"Stenoderma rufum",136.160744496611,129.289409844646,119.817510926471,251.392678145238,75.8743305825787,252.349296535557,59.6434657442537,149.524724936682,169.777738366278,169.904589197503,"Stenoderma rufum","Stenoderma rufum","Chiroptera","Phyllostomidae",3.04927304048202,-0.443166975292176,4.1250354095429,3.89934295227077,5842.66,NA,416.664,NA,538.064,116.847,NA,-0.00501254182354429,1.762,247.171,1.94591014905531,3.98709337147512,NA,2126.518,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,"1","1","0","0","0","1",NA,NA,NA,"1","0","0",1,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.782184859949738,1.70002207491084,1.99156175012721,64.66010919,5.900000005,NA,NA,NA,"0","0","1","0","0","0",21.4974690303261,-50.1883057104139,-11.26400721263,12.1104924977898,-10.9630161286548,12.321755434016,-4.66157263702294,15.9617154811885,-0.8915465633767,11.0552413451131,-2.18384285139921,8.08328258282901,6.38620048527309,5.0553409456479,-4.3858851280091,5.97601146806673,4.5054261677837,-2.38496393938053,-2.64066130996729,NA,0.58162701421801
"Phylloderma stenops",103.178139321915,61.6512562848252,136.198813460907,253.575917526047,96.0559043380511,404.67278308839,18.8364257430489,167.838263876717,164.648887694085,164.862335793792,"Phylloderma stenops","Phylloderma stenops","Chiroptera","Phyllostomidae",4.02213222810818,0.291175961706037,4.74493212836325,4.275276264727,5210.252,NA,383.678,NA,504.284,122.526,NA,-0.0202027073175195,1.689,242.29,NA,4.39011880457122,NA,2026.325,NA,NA,"0","2",NA,NA,10,0,90,10,0,0,0,0,0,20,10,60,0,2,"2","1","0","0","0","1",2600,NA,NA,"0","1","0",3,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0.51540764263211,1.85223096515418,2.5453154875717,30.4258,6.228000001,NA,NA,NA,NA,NA,NA,NA,"1","1",19.6594216598158,-49.5426300722671,-17.9960410162186,11.9820453116096,-21.8318460270698,-4.72586296631251,-9.47364657867397,-4.47392795500784,8.26265854409682,-4.77219779338376,-1.90584893092912,-5.44465649814037,-7.93232739653516,-5.48730919563081,1.31336415223163,-3.42403575919773,-5.69494084133672,-2.33524390066694,-2.60857984295143,NA,NA
"Glossophaga soricina",157.074742465295,122.744212043308,189.76071289951,258.078388874951,182.127086765159,326.63184738682,122.166917102313,179.897984444945,170.176509536523,170.30425371782,"Glossophaga soricina","Glossophaga soricina","Chiroptera","Phyllostomidae",2.32727770558442,-0.941608539858445,3.98889144968472,3.57515068878559,4015,NA,274.371,NA,390.925,107.255,NA,0,2,243.993,NA,3.84267292729335,NA,1670.54,NA,NA,"0","2",NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,"1","1","0","0","0","1",NA,NA,NA,"0","1","0",4,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.00334787451704238,1.33012960499324,1.98727243509741,47.79920543,6.4,6.90775527898214,"0",3.40452517142522,"0","0","0","1","1","0",19.060903145754,-48.3158914832271,-18.8895876903497,11.0070630063634,-22.9821137360541,-9.64457958466247,-9.24716322007819,-9.45297563008402,8.29542146691132,-7.61961232837562,-0.857673080508845,-7.31247727021394,-7.29350494946473,-4.45891017248884,1.30462797062989,-2.84860864342144,-3.22432496021391,-2.32927690065129,-2.68331142124539,NA,NA
"Sturnira luisi",149.988058494042,163.640879061989,154.537238723156,246.849556366237,135.286234884433,377.065081021562,178.045985904088,146.882098972091,186.375588057565,186.422878182671,"Sturnira luisi","Sturnira luisi","Chiroptera","Phyllostomidae",2.48407296903942,-0.541284831250699,4.30406509320417,3.76120011569356,5508.243,NA,458.975,NA,575.809,119.232,NA,-0.0100503358535015,1.588,249.475,NA,4.29376902691572,NA,2141.067,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,"1","1","0","0","0","1",1930,3.69137633431252,1890,"0","1","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.278874979201121,1.35593666321488,2.31473560664362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",20.7200109587031,-50.3569504830903,-14.4997373380971,12.8476695117255,-16.2287030808494,8.5089398014064,-7.47598175777034,12.4088195552142,3.44313091418108,9.27384050363275,-4.0996402885423,7.35655953750115,2.20718768854152,1.31160694319762,-4.89750051842834,7.3287112350308,-2.00942601174585,-2.2582249680393,-2.48500523417618,NA,NA
"Mormoops megalophylla",140.241874453045,154.648898914249,144.308189632676,268.872937264589,190.698443127013,374.12253705224,102.74222290817,170.904415881457,201.90188523091,201.9310565038,"Mormoops megalophylla","Mormoops megalophylla","Chiroptera","Mormoopidae",2.77539727456182,-0.867500567704723,4.26787761298298,4.00715135051972,2728.027,NA,343.295,NA,404.86,103.244,NA,0,1,352.592,-0.0943106794712413,4.09539401135767,NA,1423.5,NA,NA,"0","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",3000,NA,NA,"0","1","0",2,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.0726226256774352,0.733160025108994,0.952071868960445,43.5580453,7.100000005,13.1223633766043,"1",1.96009478398888,"1","0","0","0","1","0",10.056630327556,-40.7370106218241,-22.0758306005219,-0.975767648805426,-19.7147359088735,-22.2576939228545,2.20714305842805,-19.3919377750501,-4.10995906866284,-8.0940362148294,3.04610698091755,-4.76135821766072,9.87960167672451,11.9399251532755,2.61280974849802,-1.73901912226897,12.1976118991622,-1.90779258794165,-2.07274378043832,NA,0.0567154876908694
"Sturnira lilium",189.431296939414,168.690087969947,197.270732297769,271.291093697431,135.396168366894,376.053964828036,161.105802691045,191.808113266881,186.375588057565,186.422878182671,"Sturnira lilium","Sturnira lilium","Chiroptera","Phyllostomidae",2.99573227355399,-0.653926467406664,4.1890484976914,3.70130197411249,7300,289.18,289.18,289.18,404.045,114.865,NA,0,2,233.937,1.65345479785087,4.47163879336357,NA,1905.642,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,"1","1","0","0","0","1",1600,NA,NA,"0","1","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.149646177948964,1.31335419787587,1.67077457999344,49.46857623,6.500000005,NA,"0",NA,"0","0","0","1","1","0",20.7587842549787,-50.3367147566073,-14.2481614947526,12.7889720780371,-15.7486307583147,9.029567863562,-7.20806666007863,13.0832739365671,2.97129067625928,9.77264517969716,-4.02025245120653,7.82415940391901,2.73466354932921,1.78675348268396,-5.06265304706415,7.6139173946255,-1.30873111594219,-2.89410336923969,-3.2285802955365,NA,0.5225
"Artibeus concolor",36.648533052179,120.625135332562,107.139158455279,183.94139261118,81.0555143917045,193.173830683019,68.4051049748242,188.927126917755,169.777738366278,169.904589197503,"Artibeus concolor","Artibeus concolor","Chiroptera","Phyllostomidae",2.97934879430347,-0.457284856837961,4.27225362046945,3.85735560408584,5840.654,NA,352.735,NA,481.318,114.131,NA,-0.0110609473594249,1.89,238.343,NA,3.82537519870247,NA,2064.512,NA,NA,"0","2",NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,"1","1","0","0","0","1",1000,NA,NA,"0","0","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.918242582353351,1.70002947756224,2.0199560387355,35.7805,6.46,NA,NA,NA,NA,NA,NA,NA,"1","0",20.9076370506527,-50.2387218533343,-13.8708560341605,12.856785352045,-15.311474687862,9.6768537013175,-7.07825318160856,13.5582375089603,2.82550942674648,10.2437932038,-3.86805251877672,7.87051330212831,3.45837761635014,2.19258507522684,-5.14552648566421,7.70806668177149,-0.83272041735254,-2.49606988153207,-2.80688098905816,NA,NA
"Phyllostomus elongatus",222.027266640537,194.81746472653,227.485078940816,296.040318904497,203.359532427839,394.748706339651,152.403403086945,240.655111093627,192.848610197565,192.847308762877,"Phyllostomus elongatus","Phyllostomus elongatus","Chiroptera","Phyllostomidae",3.57234563785798,-0.122167633974208,4.48292345284043,4.18965474202643,5214.054,NA,387.145,NA,501.504,121.66,NA,-0.0151136378100482,1.709,247.47,NA,4.45243849891425,NA,2043.283,NA,NA,"0","2",NA,NA,70,10,20,70,0,10,0,0,0,10,10,0,0,1,"2","1","0","0","0","1",NA,NA,NA,"0","1","0",2,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.541748155381944,1.85756570524177,2.55025910024475,34.0339,6.607999995,NA,NA,NA,"0","0","0","1","1","0",19.7385479269482,-49.6518834270826,-17.8147011839452,12.0222841802872,-21.6357927102488,-3.96234374851467,-9.4426168900047,-3.55845805147317,8.21516954908027,-4.06517919008024,-2.13581621936519,-4.83341737071398,-7.96848461575046,-5.61184090001605,1.08971835028561,-2.91997678159973,-6.18368098766627,-2.34150136772973,-2.60031365131323,NA,NA
"Molossus rufus",312.644851207989,236.397425289536,351.559577328804,339.996141037629,388.870518372836,293.929780685161,346.904654282378,332.373256360184,309.310594453446,309.706622556174,"Molossus rufus","Molossus rufus","Chiroptera","Molossidae",3.2188758248682,-0.707246104939447,4.53796143629464,NA,3191.61,NA,322.946,NA,386.512,91.509,NA,0.0109399400383343,1.145,349.301,NA,3.96556377235618,NA,1498.731,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,NA,NA,NA,2,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0",0.241667209296482,1.12885923849628,1.51769316401204,76.51745,11.1,5.57972982598622,NA,NA,"0","0","0","1","1","0",31.8013798611475,-14.4147056244123,28.9704715035746,-9.27322492347254,30.2419971591564,-14.1059087722206,-5.91369140621074,-7.8697151303334,9.60443873625799,2.25890033825942,-4.62001092794978,4.86327310132178,0.130098287826159,0.42285800123867,-8.05406586152181,-0.554061332688053,0.727721115104128,-2.11111785524297,-2.29079564407039,NA,NA
