"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","orig_species","tree_match","order","family","log_adult_mass_g","log_brain_mass_g","log_adult_body_length_mm","log_adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","log_litter_size_n","litters_per_year_n","interbirth_interval_d","log_neonate_mass_g","log_weaning_age_d","log_weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","log_lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","log_median_aggregation_size","migration","log_mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17","log_relative_age_first_birth","log_female_relative_maturity","postnatal_growth_rate","mass_specific_production_rate"
"Erophylla bombifrons",130.273441444269,145.991393443496,142.252078755146,268.904560394701,106.017379817222,397.775852634499,112.998555165545,184.793448360527,175.49222408137,175.576539061846,"Erophylla bombifrons","Erophylla bombifrons","Chiroptera","Phyllostomidae",2.77881927199042,-0.551647618286246,4.31947280939055,3.85248529271195,4540.443,NA,499.464,NA,634.855,136.98,NA,0,1,345.228,1.50407739677627,4.10890471355343,NA,2118.557,NA,NA,"0","2",NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,"2","1","0","0","0","1",NA,NA,NA,"1","1","0",1,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.531798648605955,1.08405943254088,1.36439101308103,37.74412858,6.230000005,NA,NA,NA,NA,NA,NA,NA,"0","0",18.8277331256132,-47.9900243316929,-19.3511307213666,10.579735580851,-23.4320958891289,-11.5691624605216,-8.71536112371345,-11.2420514523856,7.69289858035213,-8.25881390776122,-0.187952064072736,-7.23208379070939,-6.13249381344234,-4.18064637384668,1.15818111109254,-2.09166191951639,-2.45278617800809,-1.96738323700659,-2.20724433994835,NA,0.279503105590062
"Macrotus waterhousii",173.830164144961,143.440754876082,151.182594894439,285.967683512025,124.851165256979,269.90927563328,121.007530615048,179.79012796699,170.163431732836,170.291175914133,"Macrotus waterhousii","Macrotus waterhousii","Chiroptera","Phyllostomidae",2.78099082550393,2.1567497447705,4.13804241748782,3.94429656597844,3802.083,91.32,91.32,NA,334.84,243.52,NA,0,1.895,226.195,-0.527632742082372,3.41575753299349,NA,1529.276,NA,NA,"0","2",NA,NA,50,0,50,50,0,0,0,0,0,50,0,0,0,2,"2","1","0","0","0","1",1400,NA,NA,"0","1","0",2,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.117401943346125,0.732316262249037,1.03559703653173,34.46791329,8.999999991,5.70378247532287,NA,1.62924053945758,"0","0","0","1","0","0",12.5300154976334,-41.8209760850702,-21.2926449044825,1.43861466649683,-20.5311291193068,-21.1151699321322,0.391397006958539,-19.0491124743976,-2.19906688371279,-8.77038876594663,3.14553487508394,-5.19632750957951,7.02574219180581,9.44213317649115,2.76224278156728,-1.21282588136108,11.0606867412201,-2.4296515476337,-3.72893453176396,NA,0.0692934614192749
"Pipistrellus coromandra",37.4292084559682,33.0572307394495,10.38733397135,42.9891624900347,11.1078595535296,34.4293479252612,12.7458484278314,50.0118163448033,66.3702162826193,66.3688459292944,"Pipistrellus coromandra","Pipistrellus coromandra","Chiroptera","Vespertilionidae",1.52388002407245,-2.25379492882461,4.01087236947031,3.41772668361337,1282.492,NA,215.601,NA,316.06,80.334,NA,0.336472236621213,1.536,322.176,NA,3.80857177703194,NA,1361.772,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",2769,4.60616968632117,2669,NA,NA,NA,3,"1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.40464792810291,1.50399680671994,1.55863800400423,NA,NA,NA,"0",NA,NA,NA,NA,NA,"1","0",32.9951364191269,34.8642474050193,-25.2972140490956,11.3267671700268,7.12513615514369,1.34380870445321,2.61900654773805,-3.69980625044342,5.87195280935234,13.5045219897551,9.61249668123344,-7.82298160327856,1.040136325931,-0.0322720399076882,1.42192321900824,0.0119681919446461,0.864889454652569,-1.40062827022775,-1.7831308619657,NA,NA
"Scotophilus viridis",267.223813635972,172.20908142095,264.571299762552,362.051723668048,275.209886292835,325.219754081633,247.901144860494,251.578288112845,233.340394133763,233.351112947329,"Scotophilus viridis nigritellus","Scotophilus viridis","Chiroptera","Vespertilionidae",2.96604596318363,-0.522560879984412,4.57762425655814,NA,6099.418,NA,529.331,NA,662.808,185.3,NA,0.693147180559945,1,358.85,NA,4.17636991853287,NA,2241.684,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,-2.30258509299405,NA,"0","0","0",1,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0",0.385486211901306,0.679985836288117,1.12282782957727,0.00521604161356855,5.9,NA,NA,NA,"0","1","0","0","0","1",36.4986186476575,24.6500927311488,8.96006538937566,-7.4997727303411,-15.8939657029349,13.1490861220615,13.7068044628448,-13.1109828651811,11.8434359059863,4.90804186239608,-5.30865167922105,8.03861884725108,1.19304121954219,0.12471794223153,7.17162302798306,1.06761558974805,-0.641194071788536,-2.21946328028793,-2.44433469070473,NA,NA
"Nycteris hispida",266.443618059376,178.161380572008,261.003671513191,360.719409833429,249.301616838235,376.794465309386,278.965264088071,299.027304526833,274.820815530383,274.880266227781,"Nycteris hispida","Nycteris hispida","Chiroptera","Nycteridae",2.07693841146172,-1.25878104082093,4.24829522204669,3.66330520299451,3978.116,NA,364.79,NA,416.679,91.24,NA,-0.00501254182354429,1.5,283.56,NA,4.11108695622169,NA,1609.226,NA,NA,"0","2",NA,NA,80,20,0,80,10,10,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,-2.30258509299405,NA,"0","1","0",2,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.123971819037932,0.60896717960698,0.793889259205356,27,4.799999996,2.35137525716348,NA,-2.30258509299405,NA,NA,NA,NA,"1","1",23.5548142975507,-46.6737314895006,4.41502393212445,5.88956809572754,21.40905184883,12.8838596232946,10.0217221793501,3.45783661398185,-7.14542482508246,-1.33548429332827,2.82697803490014,-0.964958771389601,-1.23232090487528,-2.35031544607464,3.21313928679423,-14.0923965653228,-0.25949449998144,-2.2562474781807,-2.38924177382711,NA,NA
"Taphozous longimanus",202.787216026347,107.749492967431,185.984713788841,317.394832660626,190.970472412972,398.804004448355,205.908262715616,208.978785849098,194.793117652134,194.834475360925,"Taphozous longimanes","Taphozous longimanus","Chiroptera","Emballonuridae",3.22326617316949,-0.755022584278033,4.39824441269672,4.06885579945493,2894.502,169.16,169.16,NA,425.83,107.22,NA,-0.0100503358535015,2,248.124,1.708377860289,3.09693415406296,2.484906649788,1227.488,NA,NA,"0","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","2","0","0","0","1",1200,-2.30258509299405,1200,"1","1","0",4,"1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","1","0","0",1.00762607626076,1.00762607626076,1.00762607626076,58.47949759,9.800000007,2.39789527279837,NA,NA,"0","0","0","1","1","0",24.7101820451126,-43.4131441713404,7.76166953353868,3.97877418649871,26.152995054447,12.1304936672519,12.7831390414218,-0.0429795620889943,-8.14647236689543,-3.65983162677759,4.26616732192489,-3.67888571231897,-0.970137361244009,-1.51826244993316,6.27557548888353,-4.6204441931028,-1.66963563064233,-1.91652814889398,-2.83972334188016,2.17391304347826,0.435268817204301
"Rhinolophus shortridgei",183.14672534291,100.027915464965,144.928038970926,285.978246523929,194.504674012799,388.862526069242,153.180690808035,208.978785849098,194.793117652134,194.834475360925,"Rhinolophus shortridgei","Rhinolophus shortridgei","Chiroptera","Rhinolophidae",1.69744878975681,-1.51868354916564,4.0567292264274,NA,5340.336,NA,605.92,NA,710.308,101.312,NA,0,1.011,364.249,NA,4.02930813937426,NA,2220.355,NA,NA,"1","2",NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3","1","0","0","0","1",NA,NA,NA,NA,NA,NA,1,"1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",-70.0939072252276,9.20145709904628,19.7963590567352,33.8597520255616,-4.52110102679668,-8.72917918560082,9.79896612969018,2.16876702863833,-4.0158996500677,6.0849599212664,-12.1438001892884,-7.27633327031597,-0.187542480219624,-5.28986433661073,0.240326174212526,0.645589105998832,8.55437065188177,-2.01734517253607,-2.17629588716961,NA,NA
"Rhinolophus sinicus",117.797454718338,68.6305759530285,101.004567869706,211.410401626904,130.959301226286,269.003283978883,81.2821580142265,163.521203304578,139.671300332631,140.004482219096,"Rhinolophus sinicus","Rhinolophus sinicus","Chiroptera","Rhinolophidae",2.32776539152434,-1.26940060964839,4.16683575189664,NA,1825,451.11,451.11,NA,574.65,123.54,NA,-0.0100503358535015,1,349.809,1.05082162483176,4.08463087003446,2.39789527279837,1314.039,NA,NA,"1","2",NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3","1","0","0","0","1",2769,6.21480807842486,2269,NA,NA,NA,2,"1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.872143312361844,1.51195649186858,1.87718008487531,36.96807127,5.319999996,NA,NA,0.741937344538982,"1","0","0","0","1","0",-70.0493658455028,9.19340051453348,19.7966597982344,33.8799142147175,-4.5300146283746,-8.81937070570842,9.93585557220737,2.33377565810955,-3.81810588402053,5.934041869252,-11.9653866329392,-7.20505092241833,-0.112529668866579,-5.29476565057865,0.249790255564976,0.646253117767734,8.82097285031753,-1.15557410620182,-1.39762405381425,3.84615384615385,0.276099463676255
"Nyctinomops macrotis",379.498146472298,278.679698095785,377.145111170723,359.052439263356,334.215819654894,273.862149317413,263.586843744966,332.684798981638,309.678216640861,310.106267655085,"Nyctinomops macrotis","Nyctinomops macrotis","Chiroptera","Molossidae",3.13549421592915,-0.697155201957484,4.45563716169371,4.11070991630837,2767.379,106.54,106.54,106.54,182.64,76.1,NA,-0.00501254182354429,1,324.898,1.59736533119983,4.33204826486764,NA,1199.943,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",2600,-2.30258509299405,2600,"0","1","0",1,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",0.0770039192071062,0.448925054353177,0.7141008663261,45.1,9.160000007,4.32413265704968,"1",NA,"0","0","0","1","1","0",31.6344759520159,-15.6007483393743,28.2076992746706,-8.50780079813446,31.6708643286207,-12.6375903187699,-4.51008170304877,-8.19374226628808,8.99260208553877,1.05517239360923,-4.46577829166701,3.92819009061997,0.0840828705110623,0.896431638408382,-7.69382538738352,3.96705700103282,0.627505372454764,-2.71813893963488,-3.25713544036756,NA,0.213708695652174
"Myotis brandtii",253.636633945677,105.869096231925,194.985018583163,307.326074395409,233.49099494305,340.170050221325,177.100614397359,231.764128429246,208.04852993903,208.049224398195,"Myotis brandtii","Myotis brandtii","Chiroptera","Vespertilionidae",1.94591014905531,2.14978350273608,4.97802945434734,3.5550623063796,14965,NA,652.842,NA,769.256,158.707,NA,0.112435429329788,1.005,374.189,NA,4.79955205727441,NA,3320.725,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,"0","1","1",NA,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","1","1","0",0.420264429923192,1.46081241849548,1.72875323272142,NA,NA,NA,"1",NA,"0","0","0","1","0","0",37.910847694041,19.1088432333215,21.5291615246868,-13.8794516555205,-19.1140702230671,8.36708002516289,5.66538441769886,1.56853883923531,-6.02623538112075,-7.23741131633593,0.117630262109671,-2.83533959291864,-1.1049173258764,0.327099684990749,-8.01794559083993,-1.17547128429427,1.04385961101882,-2.96804560631006,-3.13213428047122,NA,NA
"Natalus stramineus",311.293353360908,266.772672073339,252.412350772868,325.216440299977,300.186077407559,342.861639137821,250.133166146788,297.790698391156,274.75002055903,274.844061476093,"Natalus stramineus","Natalus stramineus","Chiroptera","Natalidae",1.54756250871601,2.39379597304743,3.8286413964891,3.65996544394929,7300,NA,503.722,NA,651.092,244.85,NA,0,1,354.944,0.60431596685333,3.92256721930382,1.42069578783722,2193.498,NA,NA,"0","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",473,-2.30258509299405,473,"0","0","0",2,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.169179139596363,1.02919514232485,1.39610882524743,23.49864821,5.569999998,5.70378247532287,"1",NA,"1","0","0","0","1","0",26.9857212748117,-33.7277898428067,14.2083640184707,1.25683514577149,31.3998776419915,7.09492658804063,9.94372557748329,-6.41530595324572,-2.84286969336039,-7.99112016639321,2.17327908193646,-8.27250450062963,-1.146246761233,1.06570210082158,4.41620038787584,12.1764022480086,-0.472886610806264,-2.41697867386824,-2.67360509854694,2.26229508196721,0.38936170212766
"Myotis bocagii",204.912596287009,90.5267602893445,137.327927976718,245.980047011812,186.645376126147,249.070719153208,139.547419166625,231.764128429246,208.04852993903,208.049224398195,"Myotis bocagii","Myotis bocagii","Chiroptera","Vespertilionidae",2.07065303564676,-1.56064774826467,4.07638423684511,3.63758615972639,7141.368,NA,477.565,NA,575.62,76.635,NA,-0.0100503358535015,1.004,364.533,NA,4.03680372232545,NA,2185.195,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,-2.30258509299405,NA,"0","1","0",2,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.372627372627373,1.01313282037394,1.2103395351761,32,8.500000006,NA,NA,NA,NA,NA,NA,NA,"1","1",38.019059653007,19.9527556002712,20.4876078160006,-13.3307865081565,-19.437090517963,9.89340296650625,7.48739311184739,-0.858923063083684,-3.71015521013573,-6.63551004428629,-1.18256836667703,-1.09468041176321,-0.906876745137301,0.0809988348955925,-8.61777437062801,-3.01401727720487,0.913782850175948,-2.51821191285879,-2.70495935730901,NA,NA
"Hipposideros jonesi",233.177219921898,188.064047134784,172.188831029201,313.659120938721,223.243600182788,377.842092088924,304.436660214272,255.239364893323,239.52473216891,239.553184642011,"Hipposideros jonesi","Hipposideros jonesi","Chiroptera","Hipposideridae",1.70292825552144,-1.4784096500277,4.02017761397035,3.90197266957464,5771.166,NA,602.91,NA,712.313,99.97,NA,0.0168571170664228,1.008,364.478,NA,4.1247120988385,NA,2281.28,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",1400,-2.30258509299405,1400,"0","0","0",5,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0",0.616086624083105,0.78539439190292,0.878527097996707,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",-73.8102647761743,9.16886332901052,13.6812454872544,19.0355712260963,-0.760161759796942,9.4782399397577,-13.8927407134604,-10.6573820778092,-4.70806156296744,-1.94362924728879,12.1717490381999,9.03737503603883,-4.74319812784317,7.55832117704324,-0.223742720543341,-0.231963600702184,-0.592096401912666,-2.09211199725468,-2.2588614869531,NA,NA
"Rhinolophus hipposideros",103.597296048045,53.7454010988781,70.5675215506842,189.178276338585,54.5315597945955,240.011034641694,40.0088742866622,201.398243917362,139.671300332631,140.004482219096,"Rhinolophus hipposideros","Rhinolophus hipposideros","Chiroptera","Rhinolophidae",1.52279010570843,-1.38629436111989,3.68875444630079,3.62407423074782,7738,447.26,473.63,471,501.87,71.255,NA,0,1,364.75,0.741937344729377,3.52929738428947,NA,2589.763,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",2000,-2.30258509299405,2000,"0","1","0",5,"1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0",0.0109385839960809,1.50067371041134,2.07297620917696,37.47618532,5.700000004,3.23867845098791,"0",NA,"0","0","0","1","0","0",-66.4433682496325,9.20484102906706,18.9993625461779,32.9158827979135,-4.73519577454341,-19.2987113624973,27.2340346359118,26.8854226748867,26.0157998673292,-14.5798519276661,13.0806075872778,3.61379135521882,2.568361565318,2.01298499423204,0.403976444372843,-0.627992355846007,1.47843011955465,-2.73555741324916,-2.79347210910225,NA,0.458015267175573
"Pteropus alecto",221.913195472734,81.4070766371485,144.959871332181,277.947430061342,87.2847311513496,222.054547701363,17.2874922094983,201.162455239375,152.249650278036,152.554549859909,"Pteropus alecto","Pteropus alecto","Chiroptera","Pteropodidae",6.46320884800541,1.95160817016995,5.53969368612331,5.11192754557813,7190.5,NA,586.111,NA,751.93,162.162,NA,0.0953101798043249,1,362.748,NA,4.49054466014679,NA,2592.524,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,"1","1","0","0","0","1",1000,-2.30258509299405,1000,"0","1","0",2,"0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",0.0261982721026277,0.866545419808547,1.07576872013401,NA,NA,NA,"1",NA,"0","0","1","0","1","0",-63.9411413976975,-1.89494536107101,-19.6818827990098,-39.9395716996835,3.70770371206058,0.00698744000522821,2.79356332169398,4.92728191665082,2.41871182610549,3.20531246246896,-2.92896877381168,-1.82651630025288,-16.8340561920241,5.81540048498331,0.433078374890667,0.276873676200249,4.76338175654746,-2.25787275481566,-2.50700679789186,NA,NA
"Molossops temminckii",343.53713786374,238.825142578407,351.993578996363,292.103315035951,381.835752903059,338.557417884171,321.34249065436,302.467858894582,311.158754084939,311.603038256239,"Molossops temminckii","Molossops temminckii","Chiroptera","Molossidae",1.76814960358892,-1.70925824771631,3.76120011569356,3.34955314850982,5453.379,NA,479.645,NA,573.289,76.1,NA,-0.0100503358535015,1,362.939,0,3.65065824129374,NA,2115.265,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,"0","0","0",1,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0",0.295828454545037,0.80544339311054,1.30880588210822,0.00519568375461101,7.70666666666667,NA,NA,NA,"0","1","0","0","1","0",31.8600137266195,-13.9333696219335,29.2972492124343,-9.61267795018959,29.5410470846901,-14.8025355538184,-6.60253421720278,-7.6461193370404,9.83474561556065,2.83455593778751,-4.71147420490147,5.3881736680486,0.199246748483327,0.208258005484704,-8.10359411629714,-2.90619547827083,0.80592209015676,-2.25260074296848,-2.43094444859477,NA,0.168941979522184
"Myotis lucifugus",246.50680991601,83.9181664616174,148.529794790325,270.35598488902,202.501244802092,375.694702472621,167.281639496934,213.129518277631,207.835818359218,207.842498240632,"Myotis lucifugus","Myotis lucifugus","Chiroptera","Vespertilionidae",1.96711235670592,-1.82635091399767,3.96461545554732,3.6312503412773,12410,280.6,245.3,210,730,57.395,NA,0,1,364.75,0.727548607277278,3.23867845216438,1.9154509415706,4117.2,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,"0","1","1",3,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.065764530094319,1.00709181629398,1.50830524072926,39.02190619,5.999999995,6.40687998573928,"1",NA,"0","0","0","1","0","0",37.8832708802572,19.0373444979419,21.6010026345336,-13.9100325202311,-19.0796442270365,8.18141503041572,5.45036418579799,1.80400230470311,-6.23539214983761,-7.27594581761936,0.262759233687544,-3.02082480573183,-1.11086192592973,0.332675677729121,-7.8242674115459,-0.955007135155233,1.01774648064534,-2.83321334405622,-3.92377592693421,3.28019323671498,0.289510489510489
"Rousettus leschenaultii",249.902900278234,192.882797600818,197.052830659821,303.248813121413,309.953490736376,399.872315048177,219.981333694881,282.442090951393,273.027096809328,273.104641043166,"Rousettus leschenaultii","Rousettus leschenaultii","Chiroptera","Pteropodidae",4.57021635672456,0.522358859579664,4.88070882449318,4.40976338964548,5110,322.24,236.12,455,278.81,118.33,NA,0.00498754151103897,2,234.776,2.484906649788,3.957760897102,3.61091791264422,1679.855,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,"1","1","0","0","0","1",1140,-2.30258509299405,1140,"0","1","0",2,"0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.0508860914065882,1.33906290580951,1.92159772905873,53.0847255,5.999999995,6.90875477831622,"1",NA,"0","0","0","1","1","0",-42.3142300794174,-15.1993053296883,-26.2328190814565,-34.1693615254926,-4.95118835778441,-24.1095033381405,23.1341219597618,-6.82188464731341,-19.1183185845302,6.75309690500033,5.55808604550887,11.8080596692002,14.8641262138116,-4.79241459956032,-2.99009549269525,1.57903331744265,-9.04949571239643,-2.90842413694888,-3.07461453282526,3.08333333333333,0.249779940972402
